ID,Name,Address,City,Country,Postcode,Latitude,Longitude,Distance (km),Operator,Operator Website,Operator Contact,Number of Chargers,Connectors,Usage Type,Membership Required,Cost,Access Info,Status,Last Update,Review (Latest),Review Author,Review Rating,Review Date,Images,Metadata
96367,Tal,Tal 36,München,Germany,80331,48.1354564,11.580390299999976,0.07820801619593458,ladenetz.de,http://ladenetz.de,,2.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-12-22T07:27:00Z,No reviews,N/A,N/A,N/A,,
57055, Parkgarage Rieger City,Frauenstraße 38,München,Germany,80469,48.1344747,11.5805728,0.0787296768098302,(Business Owner at Location),,,1.0,"Type 2 (Socket Only) (11 kW, 400V, AC (Three-Phase)), CEE 7/4 - Schuko - Type F (3.7 kW, 230V, AC (Single-Phase))",Public - Pay At Location,False,,"Ladesäule auf Parkebene 2. Parkgebühren 3€ pro Stunde, Laden 2€ pro Stunde! 24// 7 geöffnet",Operational,2015-11-21T20:40:00Z,No reviews,N/A,N/A,N/A,,
180682,Tal 36,Tal 36,München,Germany,80331,48.135646,11.580395,0.08307366227040443,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
181156,Westenriederstr. gg. 41,Westenriederstr. gg. 41,München,Germany,80331,48.135005,11.579869,0.09848824003970372,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
96317,Westenriederstraße,Westenriederstraße 39,München,Germany,80331,48.1350646,11.579815199999985,0.1007798125475722,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-12-21T07:03:00Z,No reviews,N/A,N/A,N/A,,
179895,Morassistr. 2,Morassistr. 2,München,Germany,80469,48.132839,11.583211,0.16591084895728508,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Operational,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
112829,SWM Ladestation Am Glockenbach 14,Am Glockenbach 14,München,Germany,80469,48.1327045,11.58172749836455,0.1659996000849235,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Tethered Connector)  (22 kW, 400V, AC (Three-Phase)), Type 2 (Tethered Connector)  (22 kW, 400V, AC (Three-Phase))",Public,,,24/7,Operational,2018-11-21T10:09:00Z,No reviews,N/A,N/A,N/A,,
176399,Thierschstr. 25a (Seite Adelgundenstr.),Thierschstr. 25a (Seite Adelgundenstr.),München,Germany,80538,48.13543,11.586162,0.1932760591127025,ladenetz.de,http://ladenetz.de,,,"Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase)), Type 2 (Socket Only) (22 kW, NoneV, AC (Three-Phase))",Unknown,Unknown,,,Unknown,2021-07-12T02:40:00Z,No reviews,N/A,N/A,N/A,,Unknown
93282,Morassistraße,Morassistraße 10,München,Germany,80469,48.1322108,11.582528700000012,0.201120045142331,ladenetz.de,http://ladenetz.de,,2.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-09-25T10:29:00Z,No reviews,N/A,N/A,N/A,,
73289,Hotel Platzl,Sparkassenstraße 10,München,Germany,80331,48.13789999999999,11.578960000000052,0.23892086626704173,(Business Owner at Location),,,1.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))","Private - For Staff, Visitors or Customers",False,,"Tesla Destination Charging location. Funktioniert wahrscheinlich nur bei Tesla Fahrzeugen.
",Operational,2016-11-17T10:42:00Z,No reviews,N/A,N/A,N/A,,
96315,Maximilianstraße,Maximilianstraße 16A,München,Germany,80539,48.1388572,11.581046399999991,0.2633111252592033,ladenetz.de,http://ladenetz.de,,4.0,"Type 2 (Socket Only) (22 kW, 400V, AC (Three-Phase))",Public - Membership Required,True,,,Operational,2017-12-21T07:01:00Z,No reviews,N/A,N/A,N/A,,
